Matthew 1:1	The book of the lineage of Jesus Christ, the son of David, the son of Abraham.
John 12:28	Father, glorify your name!” And then a voice came from heaven, “I have glorified it, and I will glorify it again.”
John 12:29	Therefore, the crowd, which was standing near and had heard it, said that it was like thunder. Others were saying, “An Angel was speaking with him.”
John 12:30	Jesus responded and said: “This voice came, not for my sake, but for your sakes.
John 12:31	Now is the judgment of the world. Now will the prince of this world be cast out.
John 12:32	And when I have been lifted up from the earth, I will draw all things to myself.”
John 12:33	(Now he said this, signifying what kind of death he would die.)
John 12:34	The crowd answered him: “We have heard, from the law, that the Christ remains forever. And so how can you say, ‘The Son of man must be lifted up?’ Who is this Son of man?”
John 12:35	Therefore, Jesus said to them: “For a brief time, the Light is among you. Walk while you have the Light, so that the darkness may not overtake you. But whoever walks in darkness does not know where is he going.
John 12:36	While you have the Light, believe in the Light, so that you may be sons of the Light.” Jesus spoke these things, and then he went away and hid himself from them.
John 12:37	And although he had done such great signs in their presence, they did not believe in him,
John 12:38	so that the word of the prophet Isaiah might be fulfilled, which says: “Lord, who has believed in our hearing? And to whom has the arm of the Lord been revealed?”
John 12:39	Because of this, they were not able to believe, for Isaiah said again:
John 12:40	“He has blinded their eyes, and hardened their heart, so that they may not see with their eyes, and understand with their heart, and be converted: and then I would heal them.”
John 12:41	These things Isaiah said, when he saw his glory and was speaking about him.
John 12:42	Yet truly, many of the leaders also believed in him. But because of the Pharisees, they did not confess him, so that they would not be cast out of the synagogue.
John 12:43	For they loved the glory of men more than the glory of God.
John 12:44	But Jesus cried out and said: “Whoever believes in me, does not believe in me, but in him who sent me.
John 12:45	And whoever sees me, sees him who sent me.
John 12:46	I have arrived as a light to the world, so that all who believe in me might not remain in darkness.
John 12:47	And if anyone has heard my words and not kept them, I do not judge him. For I did not come so that I may judge the world, but so that I may save the world.
John 12:48	Whoever despises me and does not accept my words has one who judges him. The word that I have spoken, the same shall judge him on the last day.
John 12:49	For I am not speaking from myself, but from the Father who sent me. He gave a commandment to me as to what I should say and how I should speak.
John 12:50	And I know that his commandment is eternal life. Therefore, the things that I speak, just as the Father has said to me, so also do I speak.”
John 13:1	Before the feast day of the Passover, Jesus knew that the hour was approaching when he would pass from this world to the Father. And since he had always loved his own who were in the world, he loved them unto the end.
John 13:2	And when the meal had taken place, when the devil had now put it into the heart of Judas Iscariot, the son of Simon, to betray him,
John 13:3	knowing that the Father had given all things into his hands and that he came from God and was going to God,
John 13:4	he rose up from the meal, and he set aside his vestments, and when he had received a towel, he wrapped it around himself.
John 13:5	Next he put water into a shallow bowl, and he began to wash the feet of the disciples and to wipe them with the towel with which he was wrapped.
John 13:6	And then he came to Simon Peter. And Peter said to him, “Lord, would you wash my feet?”
John 13:7	Jesus responded and said to him: “What I am doing, you do not now understand. But you shall understand it afterward.”
John 13:8	Peter said to him, “You shall never wash my feet!” Jesus answered him, “If I do not wash you, you will have no place with me.”
John 13:9	Simon Peter said to him, “Then Lord, not only my feet, but also my hands and my head!”
John 13:10	Jesus said to him: “He who is washed need only wash his feet, and then he will be entirely clean. And you are clean, but not all.”
John 13:11	For he knew which one would betray him. For this reason, he said, “You are not all clean.”
John 13:12	And so, after he washed their feet and received his vestments, when he had sat down at table again, he said to them: “Do you know what I have done for you?
John 13:13	You call me Teacher and Lord, and you speak well: for so I am.
John 13:14	Therefore, if I, your Lord and Teacher, have washed your feet, you also ought to wash the feet of one another.
John 13:15	For I have given you an example, so that just as I have done for you, so also should you do.
John 13:16	Amen, amen, I say to you, the servant is not greater than his Lord, and the apostle is not greater than he who sent him.
John 13:17	If you understand this, you shall be blessed if you will do it.
John 13:18	I am not speaking about all of you. I know those whom I have chosen. But this is so that the Scripture may be fulfilled, ‘He who eats bread with me shall lift up his heel against me.’
John 13:19	And I tell you this now, before it happens, so that when it has happened, you may believe that I am.
John 13:20	Amen, amen, I say to you, whoever receives anyone whom I send, receives me. And whoever receives me, receives him who sent me.”
